SiteName,SiteID,ReleaseDate,ReleaseTime,gNaCl,gGlucose,SampleDate,SampleTime,SpC.us.cm,TempH2O.C,pH,Syringe,ALK.ID,DOC.ID,NOTES
NyackSC,Down,8/12/19,11:05:00,10200,9,8/12/19,10:57:30,193.2,12.5,6.84,U015,D1287,B012,NA
NyackSC,Down,8/12/19,11:05:00,10200,9,8/12/19,11:00:00,193.2,12.5,NA,NA,NA,NA,NA
NyackSC,Down,8/12/19,11:05:00,10200,9,8/12/19,11:05:00,193.1,12.5,7.17,VT001,NA,B017,NA
NyackSC,Down,8/12/19,11:05:00,10200,9,8/12/19,11:10:00,193.1,12.5,7.3,NA,NA,NA,NA
NyackSC,Down,8/12/19,11:05:00,10200,9,8/12/19,11:15:00,193,12.5,7.39,NA,NA,NA,NA
NyackSC,Down,8/12/19,11:05:00,10200,9,8/12/19,11:20:00,193,12.5,7.45,NA,NA,NA,NA
NyackSC,Down,8/12/19,11:05:00,10200,9,8/12/19,11:25:00,192.8,12.5,7.51,NA,NA,NA,NA
NyackSC,Down,8/12/19,11:05:00,10200,9,8/12/19,11:30:00,192.8,12.5,7.55,VT023,D1202,B003,NA
NyackSC,Down,8/12/19,11:05:00,10200,9,8/12/19,11:40:00,192.7,12.5,7.66,NA,NA,NA,NA
NyackSC,Down,8/12/19,11:05:00,10200,9,8/12/19,11:45:00,192.7,12.5,7.67,NA,NA,NA,NA
NyackSC,Down,8/12/19,11:05:00,10200,9,8/12/19,11:50:00,192.7,12.5,7.69,NA,NA,NA,NA
NyackSC,Down,8/12/19,11:05:00,10200,9,8/12/19,11:55:00,192.6,12.5,7.72,NA,NA,NA,NA
NyackSC,Down,8/12/19,11:05:00,10200,9,8/12/19,12:00:00,192.6,12.5,7.74,VT020,D2319,B001,NA
NyackSC,Down,8/12/19,11:05:00,10200,9,8/12/19,12:05:00,192.6,12.6,7.76,NA,NA,NA,NA
NyackSC,Down,8/12/19,11:05:00,10200,9,8/12/19,12:10:00,192.6,12.6,7.77,NA,NA,NA,NA
NyackSC,Down,8/12/19,11:05:00,10200,9,8/12/19,12:15:00,192.5,12.7,7.79,NA,NA,NA,NA
NyackSC,Down,8/12/19,11:05:00,10200,9,8/12/19,12:20:00,192.5,12.7,7.8,NA,NA,NA,NA
NyackSC,Down,8/12/19,11:05:00,10200,9,8/12/19,12:25:00,192.4,12.7,7.82,NA,NA,NA,NA
NyackSC,Down,8/12/19,11:05:00,10200,9,8/12/19,12:30:00,92.4,12.7,7.82,NA,NA,NA,NA
NyackSC,Down,8/12/19,11:05:00,10200,9,8/12/19,12:35:00,192.3,12.7,7.84,NA,NA,NA,NA
NyackSC,Down,8/12/19,11:05:00,10200,9,8/12/19,12:40:00,192.3,12.8,7.85,NA,NA,NA,NA
NyackSC,Down,8/12/19,11:05:00,10200,9,8/12/19,12:42:00,192.3,12.8,7.85,NA,NA,NA,NA
NyackSC,Down,8/12/19,11:05:00,10200,9,8/12/19,12:45:00,192.2,12.8,7.86,VT034,D1184,B005,NA
NyackSC,Down,8/12/19,11:05:00,10200,9,8/12/19,12:47:00,19.2,12.8,7.86,NA,NA,NA,NA
NyackSC,Down,8/12/19,11:05:00,10200,9,8/12/19,12:50:00,192.2,12.8,7.86,NA,NA,NA,NA
NyackSC,Down,8/12/19,11:05:00,10200,9,8/12/19,12:55:00,192.4,12.7,7.87,NA,NA,NA,NA
NyackSC,Down,8/12/19,11:05:00,10200,9,8/12/19,12:57:00,192.8,12.8,7.88,VT018,NA,WW022,NA
NyackSC,Down,8/12/19,11:05:00,10200,9,8/12/19,12:58:00,192.9,12.8,NA,NA,NA,NA,NA
NyackSC,Down,8/12/19,11:05:00,10200,9,8/12/19,12:59:00,193.2,12.8,7.88,NA,NA,NA,NA
NyackSC,Down,8/12/19,11:05:00,10200,9,8/12/19,13:00:00,193.3,12.8,7.88,VT011,D1335,B004,NA
NyackSC,Down,8/12/19,11:05:00,10200,9,8/12/19,13:01:00,193.5,12.8,NA,NA,NA,NA,NA
NyackSC,Down,8/12/19,11:05:00,10200,9,8/12/19,13:02:00,193.8,12.8,NA,NA,NA,NA,NA
NyackSC,Down,8/12/19,11:05:00,10200,9,8/12/19,13:03:00,194,12.8,7.88,VT043,NA,B002,NA
NyackSC,Down,8/12/19,11:05:00,10200,9,8/12/19,13:04:00,194.3,12.8,NA,NA,NA,NA,NA
NyackSC,Down,8/12/19,11:05:00,10200,9,8/12/19,13:05:00,194.5,12.8,NA,NA,NA,NA,NA
NyackSC,Down,8/12/19,11:05:00,10200,9,8/12/19,13:05:00,194.8,12.8,NA,NA,NA,NA,NA
NyackSC,Down,8/12/19,11:05:00,10200,9,8/12/19,13:06:00,194.8,12.8,7.89,VT016,NA,WW024,NA
NyackSC,Down,8/12/19,11:05:00,10200,9,8/12/19,13:07:00,194.8,12.8,NA,NA,NA,NA,NA
NyackSC,Down,8/12/19,11:05:00,10200,9,8/12/19,13:08:00,195.3,12.9,NA,NA,NA,NA,NA
NyackSC,Down,8/12/19,11:05:00,10200,9,8/12/19,13:09:00,196.3,12.9,7.89,VT004,D1320,B014,NA
NyackSC,Down,8/12/19,11:05:00,10200,9,8/12/19,13:10:00,197.3,12.9,NA,NA,NA,NA,NA
NyackSC,Down,8/12/19,11:05:00,10200,9,8/12/19,13:11:00,198.1,12.9,NA,NA,NA,NA,NA
NyackSC,Down,8/12/19,11:05:00,10200,9,8/12/19,13:12:00,198.4,12.9,7.89,VT003,NA,WW033,NA
NyackSC,Down,8/12/19,11:05:00,10200,9,8/12/19,13:13:00,198.7,NA,NA,NA,NA,NA,NA
NyackSC,Above0,8/12/19,11:05:00,10200,9,8/12/19,NotRecorded,NA,NA,NA,VT014,NA,B016,NA
NyackSC,Above0,8/12/19,11:05:00,10200,9,8/12/19,NotRecorded,NA,NA,NA,VT048,NA,B015,NA
NyackSC,Above0,8/12/19,11:05:00,10200,9,8/12/19,NotRecorded,NA,NA,NA,VT044,NA,B011,NA
NyackSC,Down,8/12/19,11:05:00,10200,9,8/12/19,13:14:00,199.1,12.9,NA,NA,NA,NA,NA
NyackSC,Down,8/12/19,11:05:00,10200,9,8/12/19,13:15:10,199.4,12.9,NA,VT012,NA,B009,NA
NyackSC,Down,8/12/19,11:05:00,10200,9,8/12/19,13:16:00,199.9,12.9,NA,NA,NA,NA,NA
NyackSC,Down,8/12/19,11:05:00,10200,9,8/12/19,13:17:00,200.4,12.9,NA,NA,NA,NA,NA
NyackSC,Down,8/12/19,11:05:00,10200,9,8/12/19,13:18:00,200.8,12.9,7.9,NA,NA,NA,NA
NyackSC,Down,8/12/19,11:05:00,10200,9,8/12/19,13:19:00,201.5,12.9,NA,NA,NA,NA,NA
NyackSC,Down,8/12/19,11:05:00,10200,9,8/12/19,13:20:00,202.1,12.9,NA,NA,NA,NA,NA
NyackSC,Down,8/12/19,11:05:00,10200,9,8/12/19,13:21:00,202.7,12.9,7.9,VT039,NA,B007,NA
NyackSC,Down,8/12/19,11:05:00,10200,9,8/12/19,13:22:00,203.2,12.9,NA,NA,NA,NA,NA
NyackSC,Down,8/12/19,11:05:00,10200,9,8/12/19,13:23:00,203.6,12.9,NA,NA,NA,NA,NA
NyackSC,Down,8/12/19,11:05:00,10200,9,8/12/19,13:24:00,203.6,12.9,NA,NA,NA,NA,NA
NyackSC,Down,8/12/19,11:05:00,10200,9,8/12/19,13:25:00,203.8,12.9,7.91,VT024,D1243,WW32,NA
NyackSC,Down,8/12/19,11:05:00,10200,9,8/12/19,13:26:00,204.1,12.9,NA,NA,NA,NA,NA
NyackSC,Down,8/12/19,11:05:00,10200,9,8/12/19,13:27:00,204.3,12.9,NA,NA,NA,NA,NA
NyackSC,Down,8/12/19,11:05:00,10200,9,8/12/19,13:28:00,204.4,12.9,NA,NA,NA,NA,NA
NyackSC,Down,8/12/19,11:05:00,10200,9,8/12/19,13:29:00,204.5,12.9,7.92,NA,NA,NA,NA
NyackSC,Down,8/12/19,11:05:00,10200,9,8/12/19,13:30:00,204.7,12.9,NA,VT008,NA,B008,NA
NyackSC,Down,8/12/19,11:05:00,10200,9,8/12/19,13:31:00,204.7,12.9,NA,NA,NA,NA,NA
NyackSC,Down,8/12/19,11:05:00,10200,9,8/12/19,13:32:00,204.9,12.9,7.92,NA,NA,NA,NA
NyackSC,Down,8/12/19,11:05:00,10200,9,8/12/19,13:33:00,205.2,12.9,NA,NA,NA,NA,NA
NyackSC,Down,8/12/19,11:05:00,10200,9,8/12/19,13:34:00,205.4,12.9,NA,NA,NA,NA,NA
NyackSC,Down,8/12/19,11:05:00,10200,9,8/12/19,13:35:00,205.7,12.9,7.92,VT005,D1205,B018,NA
NyackSC,Down,8/12/19,11:05:00,10200,9,8/12/19,13:36:00,205.9,12.9,NA,NA,NA,NA,NA
NyackSC,Down,8/12/19,11:05:00,10200,9,8/12/19,13:37:00,206.2,12.9,NA,NA,NA,NA,NA
NyackSC,Down,8/12/19,11:05:00,10200,9,8/12/19,13:38:00,205.9,12.9,NA,NA,NA,NA,NA
NyackSC,Down,8/12/19,11:05:00,10200,9,8/12/19,13:39:00,205.9,12.9,NA,NA,NA,NA,NA
NyackSC,Down,8/12/19,11:05:00,10200,9,8/12/19,13:40:00,206.1,12.9,7.93,VT002,NA,WW020,NA
NyackSC,Down,8/12/19,11:05:00,10200,9,8/12/19,13:41:00,206.2,12.9,NA,NA,NA,NA,NA
NyackSC,Down,8/12/19,11:05:00,10200,9,8/12/19,13:42:00,206.2,12.9,NA,NA,NA,NA,NA
NyackSC,Down,8/12/19,11:05:00,10200,9,8/12/19,13:43:00,206.3,12.9,NA,NA,NA,NA,NA
NyackSC,Down,8/12/19,11:05:00,10200,9,8/12/19,13:44:00,206.3,12.9,NA,NA,NA,NA,NA
NyackSC,Down,8/12/19,11:05:00,10200,9,8/12/19,13:45:00,206.3,12.9,7.93,VT025,D1210,A120,NA
NyackSC,Down,8/12/19,11:05:00,10200,9,8/12/19,13:46:00,206.3,12.9,NA,NA,NA,NA,NA
NyackSC,Down,8/12/19,11:05:00,10200,9,8/12/19,13:47:00,206.3,12.9,NA,NA,NA,NA,NA
NyackSC,Down,8/12/19,11:05:00,10200,9,8/12/19,13:48:00,206.2,12.9,7.94,NA,NA,NA,NA
NyackSC,Down,8/12/19,11:05:00,10200,9,8/12/19,13:49:00,206.2,12.9,NA,NA,NA,NA,NA
NyackSC,Down,8/12/19,11:05:00,10200,9,8/12/19,13:50:00,206.1,12.9,7.94,VT027,NA,B010,NA
NyackSC,Down,8/12/19,11:05:00,10200,9,8/12/19,13:51:00,205.9,12.9,NA,NA,NA,NA,NA
NyackSC,Down,8/12/19,11:05:00,10200,9,8/12/19,13:52:00,205.9,12.9,NA,NA,NA,NA,NA
NyackSC,Down,8/12/19,11:05:00,10200,9,8/12/19,13:53:00,205.7,13,NA,NA,NA,NA,NA
NyackSC,Down,8/12/19,11:05:00,10200,9,8/12/19,13:54:00,205.6,13,NA,NA,NA,NA,NA
NyackSC,Down,8/12/19,11:05:00,10200,9,8/12/19,13:55:00,205.5,13,7.94,VT019,D1306,WW017,NA
NyackSC,Down,8/12/19,11:05:00,10200,9,8/12/19,13:57:00,205.2,13,NA,NA,NA,NA,NA
NyackSC,Down,8/12/19,11:05:00,10200,9,8/12/19,14:00:00,204.9,13,7.94,VT007,NA,B013,NA
NyackSC,Down,8/12/19,11:05:00,10200,9,8/12/19,14:05:00,204.4,13,NA,NA,NA,NA,NA
NyackSC,Down,8/12/19,11:05:00,10200,9,8/12/19,14:10:00,204,13,7.95,VT040,D1255,B006,NA
NyackSC,Down,8/12/19,11:05:00,10200,9,8/12/19,14:15:00,203,13,NA,NA,NA,NA,NA
NyackSC,Down,8/12/19,11:05:00,10200,9,8/12/19,14:20:00,203.1,13,7.96,VT033,NA,K001,NA
NyackSC,Down,8/12/19,11:05:00,10200,9,8/12/19,14:25:00,202.2,13,NA,NA,NA,NA,NA
NyackSC,Down,8/12/19,11:05:00,10200,9,8/12/19,14:30:00,201.3,13,7.97,VT033,D1259,NA,no DOC ID listed
NyackSC,Down,8/12/19,11:05:00,10200,9,8/12/19,14:40:00,199.6,13,7.97,VT035,NA,K003,NA
NyackSC,Down,8/12/19,11:05:00,10200,9,8/12/19,14:45:00,199,13,NA,NA,NA,NA,NA
NyackSC,Down,8/12/19,11:05:00,10200,9,8/12/19,14:49:00,198.6,13,7.97,VT045,D1251,K004,NA
NyackSC,Down,8/12/19,11:05:00,10200,9,8/12/19,14:55:00,197.8,13,7.98,NA,NA,NA,NA
NyackSC,Down,8/12/19,11:05:00,10200,9,8/12/19,15:00:00,197.2,13,7.98,VT013,NA,WW034,last letter in DOC ID was cut off but looked like it could be 4
NyackSC,Down,8/12/19,11:05:00,10200,9,8/12/19,15:05:00,196.8,13,NA,NA,NA,NA,NA
NyackSC,Down,8/12/19,11:05:00,10200,9,8/12/19,15:12:00,196.2,13,7.98,VT032,NA,D002,NA
NyackSC,Down,8/12/19,11:05:00,10200,9,8/12/19,15:15:00,196,13,NA,NA,NA,NA,NA
NyackSC,Down,8/12/19,11:05:00,10200,9,8/12/19,15:20:00,195.5,13,7.98,U003,D1196,D010,NA
NyackSC,Down,8/12/19,11:05:00,10200,9,8/12/19,15:25:00,195.2,13,NA,NA,NA,NA,NA
NyackSC,Down,8/12/19,11:05:00,10200,9,8/12/19,15:30:00,194.8,13.1,7.99,U036,NA,D004,NA
NyackSC,Down,8/12/19,11:05:00,10200,9,8/12/19,15:45:00,193.8,13.1,7.99,U008,D1346,D003,NA
NyackSC,Down,8/12/19,11:05:00,10200,9,8/12/19,16:00:00,193.1,13.1,7.99,VT030,NA,NA,no DOC ID listed
NyackSC,Down,8/12/19,11:05:00,10200,9,8/12/19,16:30:00,192.2,13.1,8,VT029,NA,NA,no DOC ID listed
NyackSC,Down,8/12/19,11:05:00,10200,9,8/12/19,17:00:00,191.7,13,8.01,U041,D1182,D009,NA
NyackSC,Down,8/12/19,11:05:00,10200,9,8/12/19,17:30:00,191.2,12.9,8.01,VT050,NA,NA,no DOC ID listed
NyackSC,Down,8/12/19,11:05:00,10200,9,8/12/19,18:00:00,190.7,12.9,8.01,VT038,NA,NA,no DOC ID listed
NyackSC,Down,8/12/19,11:05:00,10200,9,8/12/19,19:00:00,190,12.9,8.01,VT026,D1274,D001,NA
NyackSC,Above0,8/12/19,11:05:00,10200,9,8/12/19,18:30:00,NA,NA,NA,VT047,NA,D007,sample time is approximate