,SampleID,Syringe,H2O_mL,air_mL,eq_temp,ResetTime,DATETIME,samplenum,ENDTIME,CO2,delCO2,CH4,delCH4,CO2_vol_air,equiltemp,volair,volwater,pressure,kH_CO2,CO2_mol_water,CO2_mol_air,CO2_conc
1,1,M47,50,70,15,7/23/18 22:17,7/23/18 22:17,1,7/23/18 22:18,671.391066,-17.48850606,18.93479746,-63.61587315,671.391066,15,70,50,0.9,38.34605682,17.5087381,26.12764629,27.04372145
2,2,M28,50,70,15,7/23/18 22:20,7/23/18 22:20,2,7/23/18 22:21,685.7809334,-17.67333924,16.95676019,-63.64932862,685.7809334,15,70,50,0.9,38.34605682,17.88400139,26.6876379,27.62334722
3,3,M12,50,75,15,7/23/18 22:24,7/23/18 22:24,3,7/23/18 22:24,654.1675903,-18.07387466,17.57151167,-64.21012828,654.1675903,15,75,50,0.9,38.34605682,17.05957912,25.45738285,27.6228267
4,4,M7,50,72,15,7/23/18 22:26,7/23/18 22:26,4,7/23/18 22:27,688.2944879,-17.53948985,18.70452072,-64.20831966,688.2944879,15,72,50,0.9,38.34605682,17.94955062,26.78545461,28.26030263
5,5,M13,50,75,15,7/23/18 22:29,7/23/18 22:29,5,7/23/18 22:30,652.443811,-18.13690764,17.07807042,-63.88493893,652.443811,15,75,50,0.9,38.34605682,17.01462589,25.3903008,27.55003854
6,6,M8,50,72,15,7/23/18 22:32,7/23/18 22:32,6,7/23/18 22:32,699.42315,-17.21748257,18.4997661,-63.86188823,699.42315,15,72,50,0.9,38.34605682,18.23976721,27.21853417,28.71722821
7,7,22,50,70,15,7/23/18 22:34,7/23/18 22:34,7,7/23/18 22:35,736.0426857,-17.2940491,19.2046209,-63.94481119,736.0426857,15,70,50,0.9,38.34605682,19.19474248,28.64360865,29.64789729
8,8,M21,50,70,15,7/23/18 22:37,7/23/18 22:37,8,7/23/18 22:38,754.0408877,-18.78032983,7.02681547,-64.40031942,754.0408877,15,70,50,0.9,38.34605682,19.664105,29.34402109,30.37286726
9,9,M43,50,70,15,7/23/18 22:40,7/23/18 22:40,9,7/23/18 22:40,673.6752183,-17.23612989,18.14047,-63.80928893,673.6752183,15,70,50,0.9,38.34605682,17.56830491,26.21653565,27.13572741
10,10,M50,50,70,15,7/23/18 22:42,7/23/18 22:42,10,7/23/18 22:43,652.5596331,-17.40353376,18.4371201,-63.64459275,652.5596331,15,70,50,0.9,38.34605682,17.01764633,25.39480809,26.28518883
11,11,M44,50,70,15,7/23/18 22:45,7/23/18 22:45,11,7/23/18 22:46,660.539448,-17.5817744,18.07885472,-63.562202,660.539448,15,70,50,0.9,38.34605682,17.22574634,25.70534809,26.60661684
12,12,M33,50,72,15,7/23/18 22:48,7/23/18 22:48,12,7/23/18 22:49,692.9692911,-17.00922631,17.81155907,-63.67358868,692.9692911,15,72,50,0.9,38.34605682,18.07146154,26.9673778,28.45224278
13,13,14,50,75,15,7/23/18 22:51,7/23/18 22:51,13,7/23/18 22:52,746.2551106,-17.10791326,5.308745466,-64.64750477,746.2551106,15,75,50,0.9,38.34605682,19.46106517,29.04103221,31.51130674
14,14,M42,50,70,15,7/23/18 22:54,7/23/18 22:54,14,7/23/18 22:55,664.7050285,-17.58465753,17.85575179,-63.57268506,664.7050285,15,70,50,0.9,38.34605682,17.3343776,25.86745453,26.77440697
15,15,M49,50,71,15,7/23/18 22:57,7/23/18 22:57,15,7/23/18 22:58,653.752572,-17.44744483,17.98980021,-63.46114225,653.752572,15,71,50,0.9,38.34605682,17.04875615,25.44123213,26.58765289
16,16,17,50,72,15,7/23/18 23:00,7/23/18 23:00,16,7/23/18 23:01,761.8449238,-16.51489193,19.39400459,-63.60829463,761.8449238,15,72,50,0.9,38.34605682,19.867621,29.64772054,31.28016929
17,17,M48,50,70,15,7/23/18 23:03,7/23/18 23:03,17,7/23/18 23:04,672.0044373,-17.56291652,18.87334865,-63.57881518,672.0044373,15,70,50,0.9,38.34605682,17.52473378,26.15151606,27.06842813
18,18,24,50,70,15,7/23/18 23:05,7/23/18 23:05,18,7/23/18 23:06,741.4795412,-17.77333035,19.60749688,-63.80663942,741.4795412,15,70,50,0.9,38.34605682,19.33652643,28.85518763,29.86689456
19,19,M45,50,70,15,7/23/18 23:09,7/23/18 23:09,19,7/23/18 23:09,724.4826961,-17.05278306,19.26171317,-63.52962638,724.4826961,15,70,50,0.9,38.34605682,18.89327759,28.19374368,29.18225937
20,20,M41,50,70,15,7/23/18 23:12,7/23/18 23:12,20,7/23/18 23:13,715.5388048,-16.38784678,18.66319928,-63.53203727,715.5388048,15,70,50,0.9,38.34605682,18.66003611,27.84568599,28.82199824
21,21,M11,50,72.5,15,7/23/18 23:15,7/23/18 23:15,21,7/23/18 23:15,683.4853778,-17.16238655,18.02562306,-63.54635616,683.4853778,15,72.5,50,0.9,38.34605682,17.8241372,26.59830477,28.19583956
22,22,2,50,70,15,7/23/18 23:18,7/23/18 23:18,22,7/23/18 23:19,732.2946415,-17.74746332,19.59211305,-64.04742535,732.2946415,15,70,50,0.9,38.34605682,19.09699985,28.49775092,29.49692557
23,23,18,50,75,15,7/23/18 23:21,7/23/18 23:21,23,7/23/18 23:22,764.2683689,-16.56015326,18.20887567,-64.57793585,764.2683689,15,75,50,0.9,38.34605682,19.93082033,29.74203057,32.2719331
24,24,7,50,75,15,7/23/18 23:24,7/23/18 23:24,24,7/23/18 23:25,756.1122934,-17.37192146,18.73473802,-64.47887679,756.1122934,15,75,50,0.9,38.34605682,19.71812374,29.42463127,31.92753532
25,25,M17,50,72,15,7/23/18 23:28,7/23/18 23:28,25,7/23/18 23:28,718.5537639,-17.80496812,16.88632716,-64.35094482,718.5537639,15,72,50,0.9,38.34605682,18.73866111,27.9630152,29.5027015
26,26,M24,50,70,15,7/23/18 23:31,7/23/18 23:31,26,7/23/18 23:31,737.3193262,-18.65868988,8.029947284,-64.92213186,737.3193262,15,70,50,0.9,38.34605682,19.22803509,28.69328999,29.69932054
27,27,26,50,70,15,7/23/18 23:34,7/23/18 23:34,27,7/23/18 23:34,746.7029992,-17.36400596,19.13879088,-64.08957151,746.7029992,15,70,50,0.9,38.34605682,19.47274534,29.0584621,30.07729614
28,28,30,50,70,15,7/23/18 23:38,7/23/18 23:38,28,7/23/18 23:39,717.4714786,-16.58602575,9.434039444,-61.35475091,717.4714786,15,70,50,0.9,38.34605682,18.71043695,27.92089732,28.8998466
29,29,blank,50,70,15,7/23/18 23:42,7/23/18 23:42,29,7/23/18 23:43,692.4070136,-15.19231881,1.887838209,-48.66046874,692.4070136,15,70,50,0.9,38.34605682,18.0567983,26.94549638,27.89024662
30,30,M6,50,70,15,7/23/18 23:46,7/23/18 23:46,30,7/23/18 23:46,713.7008241,-18.51399109,5.477775192,-64.52115163,713.7008241,15,70,50,0.9,38.34605682,18.61210469,27.7741597,28.74796414
31,31,31,50,70,15,7/23/18 23:48,7/23/18 23:48,31,7/23/18 23:49,767.3976479,-16.361952,5.568531939,-64.98702424,767.3976479,15,70,50,0.9,38.34605682,20.01242661,29.86380862,30.91087934
32,32,15,50,70,15,7/23/18 23:51,7/23/18 23:51,32,7/23/18 23:52,743.0758185,-17.87436069,19.58460985,-64.76507642,743.0758185,15,70,50,0.9,38.34605682,19.37815463,28.91730786,29.93119282
33,33,M34,50,70,15,7/23/18 23:54,7/23/18 23:54,33,7/23/18 23:54,729.9631442,-18.26718036,5.818200096,-64.66995485,729.9631442,15,70,50,0.9,38.34605682,19.03619837,28.4070191,29.40301255
34,34,M25,50,70,15,7/23/18 23:56,7/23/18 23:56,34,7/23/18 23:57,709.0124043,-18.13446764,18.96301729,-64.04846345,709.0124043,15,70,50,0.9,38.34605682,18.48983867,27.59170661,28.55911396
35,35,M1,50,72,15,7/23/18 23:59,7/23/18 23:59,35,7/23/18 23:59,673.8266858,-17.5906497,17.76011465,-63.8007916,673.8266858,15,72,50,0.9,38.34605682,17.57225492,26.22243011,27.66627714
36,36,M20,50,70,15,7/24/18 0:01,7/24/18 0:01,36,7/24/18 0:02,785.6661103,-17.29189214,18.60667939,-64.15763277,785.6661103,15,70,50,0.9,38.34605682,20.48883706,30.57473844,31.64673544
37,37,10,50,72,15,7/24/18 0:04,7/24/18 0:04,37,7/24/18 0:05,792.7856388,-17.68736738,6.106795494,-64.47152393,792.7856388,15,72,50,0.9,38.34605682,20.67450227,30.8517998,32.55054699
38,38,M46,50,70,15,7/24/18 0:07,7/24/18 0:07,38,7/24/18 0:07,637.9726866,-18.59267227,19.00001482,-63.95182155,637.9726866,15,70,50,0.9,38.34605682,16.63724355,24.82714701,25.69762468
39,39,M40,50,70,15,7/24/18 0:09,7/24/18 0:09,39,7/24/18 0:10,914.6606378,-18.12312023,6.887781476,-64.84793653,914.6606378,15,70,50,0.9,38.34605682,23.85279514,35.59464942,36.84265217
40,40,M30,50,70,15,7/24/18 0:12,7/24/18 0:12,40,7/24/18 0:12,751.2685653,-18.47863109,6.724631729,-65.15542668,751.2685653,15,70,50,0.9,38.34605682,19.59180754,29.23613426,30.26119775
41,41,M26,50,70,15,7/24/18 0:14,7/24/18 0:14,41,7/24/18 0:15,713.4984144,-17.61701421,5.990361481,-64.12642588,713.4984144,15,70,50,0.9,38.34605682,18.60682619,27.76628279,28.73981105
42,42,3,50,70,15,7/24/18 0:17,7/24/18 0:17,42,7/24/18 0:17,774.1857483,-18.3839175,18.55031745,-64.48438495,774.1857483,15,70,50,0.9,38.34605682,20.18944873,30.12797223,31.18430493
43,43,M10,50,70,15,7/24/18 0:19,7/24/18 0:19,43,7/24/18 0:20,808.7207549,-16.77207269,6.598239631,-64.94955135,808.7207549,15,70,50,0.9,38.34605682,21.09006302,31.47192583,32.57537959
44,44,M16,50,70,15,7/24/18 0:22,7/24/18 0:22,44,7/24/18 0:23,860.8619386,-18.05358028,17.47782828,-63.78296579,860.8619386,15,70,50,0.9,38.34605682,22.44981649,33.50103595,34.67563341
45,45,M39,50,70,15,7/24/18 0:26,7/24/18 0:26,45,7/24/18 0:26,669.5357625,-18.49404205,5.615964736,-63.92497084,669.5357625,15,70,50,0.9,38.34605682,17.46035494,26.05544588,26.96898958
46,46,1,50,70,15,7/24/18 0:28,7/24/18 0:28,46,7/24/18 0:29,614.5102237,-19.65225022,5.692674199,-64.35584798,614.5102237,15,70,50,0.9,38.34605682,16.02538239,23.91408909,24.75255356
47,47,35,50,70,15,7/24/18 0:31,7/24/18 0:31,47,7/24/18 0:31,713.973657,-18.05352707,5.581600157,-64.54198309,713.973657,15,70,50,0.9,38.34605682,18.61921971,27.78477718,28.75895388
48,48,36,50,70,15,7/24/18 0:33,7/24/18 0:33,48,7/24/18 0:34,683.4353633,-19.04334512,6.298740362,-64.16055084,683.4353633,15,70,50,0.9,38.34605682,17.82283291,26.59635843,27.52886735
49,49,38,50,70,15,7/24/18 0:36,7/24/18 0:36,49,7/24/18 0:37,766.3308453,-17.42436161,6.889336091,-63.75514936,766.3308453,15,70,50,0.9,38.34605682,19.98460621,29.82229327,30.86790839
50,50,M32,50,70,15,7/24/18 0:39,7/24/18 0:39,50,7/24/18 0:39,713.3097364,-16.98538262,5.728860768,-64.54740865,713.3097364,15,70,50,0.9,38.34605682,18.60190579,27.75894025,28.73221107
51,51,6,50,70,15,7/24/18 0:41,7/24/18 0:41,51,7/24/18 0:42,704.1362023,-18.51224452,5.742629323,-64.62382003,704.1362023,15,70,50,0.9,38.34605682,18.36267561,27.40194585,28.3626999
52,52,27,50,70,15,7/24/18 0:44,7/24/18 0:44,52,7/24/18 0:45,736.6006986,-17.18359944,5.855937651,-65.00635218,736.6006986,15,70,50,0.9,38.34605682,19.20929451,28.66532411,29.67037413
53,53,M31,50,70,15,7/24/18 0:46,7/24/18 0:46,53,7/24/18 0:47,687.5310748,-17.98961786,5.640454449,-64.27789723,687.5310748,15,70,50,0.9,38.34605682,17.9296421,26.75574586,27.69384315
54,54,5,50,70,15,7/24/18 0:49,7/24/18 0:49,54,7/24/18 0:50,771.8608764,-16.99155092,5.441972528,-64.73219107,771.8608764,15,70,50,0.9,38.34605682,20.12882003,30.03749824,31.09065878
55,55,13,50,70,15,7/24/18 0:52,7/24/18 0:52,55,7/24/18 0:52,784.4774256,-18.37346112,18.91645323,-64.91804356,784.4774256,15,70,50,0.9,38.34605682,20.45783819,30.52847995,31.59885506
56,56,M9,50,70,15,7/24/18 0:55,7/24/18 0:55,56,7/24/18 0:55,779.6833045,-16.8001526,5.970818567,-64.75849237,779.6833045,15,70,50,0.9,38.34605682,20.33281566,30.34191342,31.40574723
57,57,19,50,70,15,7/24/18 0:57,7/24/18 0:57,57,7/24/18 0:58,728.2669873,-17.95379285,6.011699354,-65.48479413,728.2669873,15,70,50,0.9,38.34605682,18.99196548,28.34101199,29.33469113
58,58,M27,50,70,15,7/24/18 1:00,7/24/18 1:00,58,7/24/18 1:00,932.9695574,-16.92434511,5.616922815,-65.25931723,932.9695574,15,70,50,0.9,38.34605682,24.33026065,36.30715365,37.58013788
59,59,23,50,70,15,7/24/18 1:02,7/24/18 1:02,59,7/24/18 1:03,749.4649385,-17.72375323,19.00567788,-64.47062846,749.4649385,15,70,50,0.9,38.34605682,19.54477202,29.16594487,30.18854742
60,60,M35,50,70,15,7/24/18 1:05,7/24/18 1:05,60,7/24/18 1:06,679.8416798,-17.44731314,5.94640061,-64.55171105,679.8416798,15,70,50,0.9,38.34605682,17.72911575,26.45650775,27.3841133
61,61,16,50,70,15,7/24/18 1:08,7/24/18 1:08,61,7/24/18 1:09,754.0508368,-17.42934993,5.7770867,-63.74812086,754.0508368,15,70,50,0.9,38.34605682,19.66436446,29.34440827,30.37326802
62,62,33,50,70,15,7/24/18 1:13,7/24/18 1:13,62,7/24/18 1:14,700.7603221,-17.75164547,5.610052726,-63.32150568,700.7603221,15,70,50,0.9,38.34605682,18.27463839,27.27057114,28.226719
63,63,11,50,70,15,7/24/18 1:16,7/24/18 1:16,63,7/24/18 1:17,719.1115216,-18.35961893,18.85997413,-64.58097881,719.1115216,15,70,50,0.9,38.34605682,18.75320649,27.98472072,28.96590775
64,64,29,50,70,15,7/24/18 1:18,7/24/18 1:18,64,7/24/18 1:19,714.9442918,-19.02312369,19.45069546,-64.29235112,714.9442918,15,70,50,0.9,38.34605682,18.64453222,27.8225501,28.79805118
65,65,4,50,70,15,7/24/18 1:21,7/24/18 1:21,65,7/24/18 1:22,722.8216183,-18.50522305,5.908871942,-63.52860664,722.8216183,15,70,50,0.9,38.34605682,18.84995951,28.12910169,29.11535094
66,66,8,50,70,15,7/24/18 1:24,7/24/18 1:24,66,7/24/18 1:24,708.4573586,-18.7555602,6.716258337,-64.41837667,708.4573586,15,70,50,0.9,38.34605682,18.47536402,27.57010662,28.53675665
67,67,m19,50,70,15,7/24/18 1:26,7/24/18 1:26,67,7/24/18 1:27,623.5724487,-17.99860373,17.95744357,-64.35959382,623.5724487,15,70,50,0.9,38.34605682,16.26170982,24.26675182,25.11758119
68,68,20,50,70,15,7/24/18 1:29,7/24/18 1:29,68,7/24/18 1:30,674.6981719,-18.09882273,5.592115123,-64.32352445,674.6981719,15,70,50,0.9,38.34605682,17.5949818,26.2563446,27.17693212
69,69,28,50,70,15,7/24/18 1:32,7/24/18 1:32,69,7/24/18 1:32,677.4511134,-19.36805327,19.7685977,-64.08281226,677.4511134,15,70,50,0.9,38.34605682,17.66677384,26.36347721,27.28782097
70,70,M4,50,70,15,7/24/18 1:34,7/24/18 1:34,70,7/24/18 1:35,716.8912138,-17.0723242,5.973327863,-63.71312071,716.8912138,15,70,50,0.9,38.34605682,18.69530463,27.89831592,28.87647346
71,71,M3,50,70,15,7/24/18 1:37,7/24/18 1:37,71,7/24/18 1:38,756.5762055,-16.89642332,6.16793595,-64.48010636,756.5762055,15,70,50,0.9,38.34605682,19.73022178,29.44268473,30.4749902
72,72,9,50,70,15,7/24/18 1:39,7/24/18 1:39,72,7/24/18 1:40,797.0833333,-17.07330844,6.024585979,-64.55024379,797.0833333,15,70,50,0.9,38.34605682,20.78657884,31.01904754,32.1066227
73,73,M22,50,70,15,7/24/18 1:42,7/24/18 1:42,73,7/24/18 1:43,636.3309662,-18.8587111,5.703030671,-64.33220763,636.3309662,15,70,50,0.9,38.34605682,16.59443027,24.76325833,25.63149597
74,74,M37,50,70,15,7/24/18 1:44,7/24/18 1:44,74,7/24/18 1:45,636.2225529,-19.39848292,6.045135473,-63.36844377,636.2225529,15,70,50,0.9,38.34605682,16.59160304,24.75903935,25.62712907
75,75,M38,50,70,15,7/24/18 1:47,7/24/18 1:47,75,7/24/18 1:47,674.0934478,-18.59755851,6.125009987,-64.02445589,674.0934478,15,70,50,0.9,38.34605682,17.57921163,26.23281134,27.15257375
76,76,25,50,70,15,7/24/18 1:49,7/24/18 1:49,76,7/24/18 1:50,690.8096428,-18.07543207,6.102849413,-63.59265664,690.8096428,15,70,50,0.9,38.34605682,18.01514158,26.88333359,27.82590431
77,77,34,50,70,15,7/24/18 1:52,7/24/18 1:52,77,7/24/18 1:53,696.4562398,-17.69312435,18.4344333,-64.19017435,696.4562398,15,70,50,0.9,38.34605682,18.16239524,27.10307481,28.05334999
78,78,M29,50,70,15,7/24/18 1:55,7/24/18 1:55,78,7/24/18 1:56,703.802396,-17.41517401,5.953904336,-64.14690846,703.802396,15,70,50,0.9,38.34605682,18.35397051,27.38895554,28.34925414
79,79,21,50,70,15,7/24/18 1:57,7/24/18 1:57,79,7/24/18 1:58,774.6310754,-19.2014424,19.25246273,-64.92711928,774.6310754,15,70,50,0.9,38.34605682,20.20106211,30.14530245,31.20224277
80,80,M2,50,70,15,7/24/18 2:00,7/24/18 2:00,80,7/24/18 2:01,753.2902751,-18.75299204,6.217274202,-64.81512341,753.2902751,15,70,50,0.9,38.34605682,19.6445303,29.31481049,30.34263249
81,81,M23,50,70,15,7/24/18 2:03,7/24/18 2:03,81,7/24/18 2:03,714.0541417,-17.6380653,18.64890754,-64.01824308,714.0541417,15,70,50,0.9,38.34605682,18.62131862,27.7879093,28.76219582
82,82,M51,50,70,15,7/24/18 2:05,7/24/18 2:05,82,7/24/18 2:06,612.7672258,-18.11117913,18.15419946,-63.7175376,612.7672258,15,70,50,0.9,38.34605682,15.97992797,23.84625913,24.68234537