time,spc,Syringe
11:26:00,643,VT019
11:31:00,645,VT021
11:36:00,648,VT009
11:41:00,654,VT029
11:44:00,658,VT048
11:47:00,665,VT006
11:50:00,669,VT004
11:53:00,673,VT011
11:56:00,678,VTO17
11:59:00,681,VT046
12:02:00,685,NA
12:06:00,690,VT024
12:11:00,693,VT001
12:16:00,695,VT047
12:25:00,695,VT026
12:30:00,695,VT002
12:40:00,692,VT043
12:50:00,687,VT041
13:00:00,682,VT003
13:20:00,669,VT015
13:40:00,659,VT022
14:00:00,652,VT042
14:20:00,646,VT027
14:40:00,640,VT035
15:00:00,635,VT032